name,type,sec_cik,sec_cik_type,ticker_us,ticker_tsx,crypto_tracked,notes
Warren Buffett,person,315090,person,BRK-A,,,"Personal Form 4 insider filings"
Berkshire Hathaway,fund,1067983,company,BRK-A,,,"13F quarterly institutional holdings"
Michael Saylor / Strategy,corp,1050446,company,MSTR,,BTC,"BTC treasury tracker + Form 4"
BlackRock,fund,1364742,company,,,,"13F quarterly — world's largest asset manager"
Cathie Wood / ARK Invest,fund,1336528,company,,,,"13F quarterly + ARK daily disclosures"
Shopify,corp,1594686,company,SHOP,SHOP.TO,,"Canadian-US cross-listed tech"
Scion Asset Management,fund,1649339,company,,,,"Michael Burry's fund — 13F quarterly"
Michael Burry,person,1342573,person,,,,"Form 4 insider filings"
Bridgewater Associates,fund,1350694,company,,,,"Ray Dalio's fund — 13F quarterly"
Ray Dalio,person,,,,,,"News only — no personal SEC filings"
Duquesne Family Office,fund,1536411,company,,,,"Stanley Druckenmiller — 13F quarterly"
Stanley Druckenmiller,person,916119,person,,,,"Form 4 insider filings"
Oaktree Capital Management,fund,949509,company,,,,"Howard Marks — 13F quarterly"
Howard Marks,person,1934257,person,,,,"Form 4 insider filings"
JPMorgan Chase,corp,,,,,,"News only — 13F entity not confirmed"
Jamie Dimon,person,1195345,person,,,,"Form 4 insider filings"
DoubleLine Capital,fund,,,,,,"Jeff Gundlach — bond fund, no 13F required"
Jeff Gundlach,person,,,,,,"News only — no personal SEC filings"
Ninepoint Partners,fund,1715635,company,,,,"13F quarterly — energy focus"
Eric Nuttall,person,,,,,,"News only — Canadian fund manager, no SEC filings"
Federal Reserve,institution,,,,,,"News only — FOMC decisions and statements"
Jerome Powell,person,,,,,,"News only — Fed Chair"
Bank of Canada,institution,,,,,,"News only — BoC rate decisions"
Tiff Macklem,person,,,,,,"News only — Bank of Canada Governor"
World Gold Council,institution,,,,,,"News only — gold demand reports"
